Area	Consumption Segment	Country	Measure Names	"Sector, Category or Product"	Measure Values
Urban	Middle	Bosnia and Herzegovina	US$	Energy	276.9715637
Urban	Middle	Bosnia and Herzegovina	$PPP	Energy	454.0366254
Urban	Middle	Bosnia and Herzegovina	Local Currency	Energy	409.0869995
Urban	Lowest	Bosnia and Herzegovina	US$	Energy	0.247477412
Urban	Lowest	Bosnia and Herzegovina	$PPP	Energy	0.405687166
Urban	Lowest	Bosnia and Herzegovina	Local Currency	Energy	0.365524137
Urban	Low	Bosnia and Herzegovina	US$	Energy	21.01898201
Urban	Low	Bosnia and Herzegovina	$PPP	Energy	34.45620025
Urban	Low	Bosnia and Herzegovina	Local Currency	Energy	31.04503642
Urban	All	Bosnia and Herzegovina	US$	Energy	641.5402617
Urban	All	Bosnia and Herzegovina	$PPP	Energy	1051.670329
Urban	All	Bosnia and Herzegovina	Local Currency	Energy	947.5549666
National	Higher	Brazil	US$	Energy	8022.252233
National	Higher	Brazil	$PPP	Energy	7976.903154
National	Higher	Brazil	Local Currency	Energy	14111.14168
National	Middle	Brazil	US$	Energy	14879.04623
National	Middle	Brazil	$PPP	Energy	14794.9363
National	Middle	Brazil	Local Currency	Energy	26172.24232
National	Lowest	Brazil	US$	Energy	4032.034014
National	Lowest	Brazil	$PPP	Energy	4009.241283
National	Lowest	Brazil	Local Currency	Energy	7092.34783
National	Low	Brazil	US$	Energy	13990.00131
National	Low	Brazil	$PPP	Energy	13910.91708
National	Low	Brazil	Local Currency	Energy	24608.41231
National	All	Brazil	US$	Energy	40923.33379
National	All	Brazil	$PPP	Energy	40691.99782
National	All	Brazil	Local Currency	Energy	71984.14414
Rural	Higher	Brazil	US$	Energy	538.3661486
Rural	Higher	Brazil	$PPP	Energy	535.3228125
Rural	Higher	Brazil	Local Currency	Energy	946.9860554
Rural	Middle	Brazil	US$	Energy	1205.989473
Rural	Middle	Brazil	$PPP	Energy	1199.172121
Rural	Middle	Brazil	Local Currency	Energy	2121.335482
Rural	Lowest	Brazil	US$	Energy	750.466522
Rural	Lowest	Brazil	$PPP	Energy	746.2242014
Rural	Lowest	Brazil	Local Currency	Energy	1320.070612
Rural	Low	Brazil	US$	Energy	1622.665143
Rural	Low	Brazil	$PPP	Energy	1613.492361
Rural	Low	Brazil	Local Currency	Energy	2854.267986
Rural	All	Brazil	US$	Energy	4117.487286
Rural	All	Brazil	$PPP	Energy	4094.211496
Rural	All	Brazil	Local Currency	Energy	7242.660136
Urban	Higher	Brazil	US$	Energy	7483.886085
Urban	Higher	Brazil	$PPP	Energy	7441.580341
Urban	Higher	Brazil	Local Currency	Energy	13164.15562
Urban	Middle	Brazil	US$	Energy	13673.05676
Urban	Middle	Brazil	$PPP	Energy	13595.76418
Urban	Middle	Brazil	Local Currency	Energy	24050.90684
Urban	Lowest	Brazil	US$	Energy	3281.567492
Urban	Lowest	Brazil	$PPP	Energy	3263.017082
Urban	Lowest	Brazil	Local Currency	Energy	5772.277218
Urban	Low	Brazil	US$	Energy	12367.33617
Urban	Low	Brazil	$PPP	Energy	12297.42472
Urban	Low	Brazil	Local Currency	Energy	21754.14432
Urban	All	Brazil	US$	Energy	36805.8465
Urban	All	Brazil	$PPP	Energy	36597.78632
Urban	All	Brazil	Local Currency	Energy	64741.484
